Simulation 1

id, arrival, departure, responseTime, state
1, 1, 12, 11, SERVED
2, 4, 18, 14, SERVED
3, 6, 24, 18, SERVED
4, 8, 30, 22, SERVED
5, 14, 32, 18, SERVED
6, 19, 36, 17, SERVED
7, 23, 35, 12, SERVED
8, 27, 42, 15, SERVED
9, 34, 45, 11, SERVED
10, 40, N/A, N/A, WAITING_FOR_FOOD
11, 45, N/A, N/A, BEING_SERVED
12, 49, N/A, N/A, WAITING_IN_CASHIER_QUEUE

Summary
Duration, 50
Total Served, 9
Avg Response Time, 15.33
Simulation 2

id, arrival, departure, responseTime, state
1, 1, 12, 11, SERVED
2, 6, 18, 12, SERVED
3, 10, 30, 20, SERVED
4, 13, 42, 29, SERVED
5, 16, 26, 10, SERVED
6, 23, 34, 11, SERVED
7, 28, 40, 12, SERVED
8, 32, N/A, N/A, WAITING_FOR_FOOD
9, 39, N/A, N/A, WAITING_FOR_FOOD
10, 42, N/A, N/A, WAITING_FOR_FOOD
11, 46, N/A, N/A, BEING_SERVED

Summary
Duration, 50
Total Served, 7
Avg Response Time, 15.00

Simulation 3

id, arrival, departure, responseTime, state
1, 1, 18, 17, SERVED
2, 3, 24, 21, SERVED
3, 8, 20, 12, SERVED
4, 11, 30, 19, SERVED
5, 18, 26, 8, SERVED
6, 22, 38, 16, SERVED
7, 24, N/A, N/A, WAITING_FOR_FOOD
8, 31, 43, 12, SERVED
9, 37, 48, 11, SERVED
10, 44, N/A, N/A, WAITING_FOR_FOOD
11, 46, N/A, N/A, BEING_SERVED
12, 48, N/A, N/A, BEING_SERVED

Summary
Duration, 50
Total Served, 8
Avg Response Time, 14.50
